date,open,high,low,close,volume
2023-01-02,1793.39,1799.48,1788.05,1797.55,25378
2023-01-03,1795.4,1810.06,1793.16,1808.08,9704
2023-01-04,1810.73,1819.65,1780.27,1791.51,7939
2023-01-05,1786.56,1818.71,1785.85,1811.64,25826
2023-01-06,1806.47,1840.53,1800.18,1835.02,14697
2023-01-09,1838.42,1840.23,1798.44,1799.35,8147
2023-01-10,1800.69,1802.67,1773.28,1779.32,28862
2023-01-11,1779.73,1790.85,1775.48,1789.01,63579
2023-01-12,1787.06,1792.89,1785.75,1789.84,44124
2023-01-13,1798.97,1807.48,1782.23,1797.01,19367
2023-01-16,1794.97,1795.94,1786.69,1787.87,22124
2023-01-17,1792.7,1815.98,1789.05,1814.01,34332
2023-01-18,1812.83,1851.72,1800.77,1836.85,38602
2023-01-19,1839.96,1845.18,1839.32,1844.15,18550
2023-01-20,1845.15,1874.48,1842.16,1872.46,22406
2023-01-23,1868.25,1886.39,1863.64,1884.92,25598
2023-01-24,1888.05,1888.11,1867.39,1869.8,29054
2023-01-25,1872.64,1882.28,1869.66,1881.59,20608
2023-01-26,1881.08,1907.13,1842.75,1866.56,20742
2023-01-27,1860.24,1896.03,1857.95,1890.54,43910
2023-01-30,1898.91,1901.73,1888.49,1892.05,40326
2023-01-31,1890.73,1901.17,1882.17,1897.71,27964
2023-02-01,1893.58,1901.6,1879.86,1897.71,52028
2023-02-02,1901.81,1914.21,1851.13,1859.69,18156
2023-02-03,1861.67,1886.0,1835.92,1868.35,49587
2023-02-06,1870.99,1894.83,1868.18,1872.48,28890
2023-02-07,1867.31,1870.01,1858.61,1859.23,113041
2023-02-08,1865.98,1867.13,1822.13,1829.66,12133
2023-02-09,1819.26,1833.02,1810.34,1832.75,15604
2023-02-10,1833.56,1838.66,1811.62,1823.72,27157
2023-02-13,1817.74,1846.66,1811.58,1830.7,26866
2023-02-14,1835.93,1844.66,1829.51,1833.11,58399
2023-02-15,1832.14,1871.69,1829.02,1867.11,15769
2023-02-16,1864.22,1880.8,1858.81,1861.05,34629
2023-02-17,1871.07,1871.81,1838.31,1840.08,39388
2023-02-20,1848.27,1849.21,1842.85,1845.39,31329
2023-02-21,1848.08,1853.91,1828.41,1850.96,13622
2023-02-22,1842.37,1907.65,1839.26,1877.79,44528
2023-02-23,1875.34,1906.27,1861.42,1889.05,40727
2023-02-24,1893.19,1893.21,1886.27,1886.96,29726
2023-02-27,1889.13,1903.05,1879.44,1901.68,24395
2023-02-28,1888.47,1894.19,1846.27,1854.54,24662
2023-03-01,1845.33,1856.5,1837.84,1854.54,21176
2023-03-02,1849.95,1864.71,1837.92,1839.04,30345
2023-03-03,1832.4,1840.36,1831.88,1835.52,22372
2023-03-06,1824.57,1890.36,1804.92,1857.86,14410
2023-03-07,1850.94,1907.15,1810.82,1833.49,13039
2023-03-08,1831.19,1844.33,1827.69,1838.2,15123
2023-03-09,1836.66,1840.18,1829.41,1832.46,24613
2023-03-10,1831.62,1835.02,1826.67,1830.47,21731
